class,precision,recall,f1_score,accuracy
A,0.5,1.0,0.67,   0.70
B,0.86,1.0,0.92,   0.70
C,1.0,0.33,0.5,   0.70
D,0.75,0.75,0.75,   0.70
E,0.67,1.0,0.8,   0.70
F,0.0,0.0,0.0,   0.70
G,0.67,0.4,0.5,   0.70
H,1.0,0.75,0.86,   0.70
I,0.83,1.0,0.91,   0.70
J,0.67,0.67,0.67,   0.70
K,0.33,0.5,0.4,   0.70
L,0.75,1.0,0.86,   0.70
M,0.4,0.5,0.44,   0.70
N,0.67,1.0,0.8,   0.70
O,0.5,0.5,0.5,   0.70
P,1.0,1.0,1.0,   0.70
Q,1.0,0.67,0.8,   0.70
R,0.6,0.75,0.67,   0.70
S,1.0,0.8,0.89,   0.70
T,0.6,0.6,0.6,   0.70
U,1.0,0.67,0.8,   0.70
V,0.67,0.8,0.73,   0.70
W,1.0,0.67,0.8,   0.70
X,0.5,1.0,0.67,   0.70
Y,0.67,0.8,0.73,   0.70
Z,1.0,0.67,0.8,   0.70
