class,precision,recall,f1_score,accuracy
A,0.5,1.0,0.67,   0.84
B,0.55,1.0,0.71,   0.84
C,0.5,0.67,0.57,   0.84
D,1.0,0.75,0.86,   0.84
E,1.0,0.75,0.86,   0.84
F,0.67,0.8,0.73,   0.84
G,1.0,0.8,0.89,   0.84
H,0.0,0.0,0.0,   0.84
I,0.83,1.0,0.91,   0.84
J,1.0,1.0,1.0,   0.84
K,1.0,1.0,1.0,   0.84
L,1.0,0.67,0.8,   0.84
M,1.0,0.75,0.86,   0.84
N,1.0,1.0,1.0,   0.84
O,1.0,1.0,1.0,   0.84
P,1.0,1.0,1.0,   0.84
Q,1.0,1.0,1.0,   0.84
R,1.0,0.75,0.86,   0.84
S,1.0,1.0,1.0,   0.84
T,1.0,0.8,0.89,   0.84
U,1.0,1.0,1.0,   0.84
V,1.0,1.0,1.0,   0.84
W,1.0,1.0,1.0,   0.84
X,0.25,1.0,0.4,   0.84
Y,0.8,0.8,0.8,   0.84
Z,1.0,0.67,0.8,   0.84
