class,precision,recall,f1_score,accuracy
A,1.0,1.0,1.0,   0.93
B,1.0,0.67,0.8,   0.93
C,1.0,1.0,1.0,   0.93
D,1.0,0.75,0.86,   0.93
E,1.0,1.0,1.0,   0.93
F,0.71,1.0,0.83,   0.93
G,1.0,0.8,0.89,   0.93
H,1.0,1.0,1.0,   0.93
I,1.0,1.0,1.0,   0.93
J,1.0,1.0,1.0,   0.93
K,1.0,1.0,1.0,   0.93
L,0.75,1.0,0.86,   0.93
M,1.0,1.0,1.0,   0.93
N,1.0,1.0,1.0,   0.93
O,1.0,1.0,1.0,   0.93
P,1.0,1.0,1.0,   0.93
Q,1.0,1.0,1.0,   0.93
R,1.0,1.0,1.0,   0.93
S,0.71,1.0,0.83,   0.93
T,1.0,0.8,0.89,   0.93
U,1.0,1.0,1.0,   0.93
V,1.0,1.0,1.0,   0.93
W,1.0,0.67,0.8,   0.93
X,0.5,1.0,0.67,   0.93
Y,0.83,1.0,0.91,   0.93
Z,1.0,0.83,0.91,   0.93
