class,precision,recall,f1_score,accuracy
A,0.5,1.0,0.67,   0.92
B,0.75,1.0,0.86,   0.92
C,1.0,0.67,0.8,   0.92
D,1.0,0.75,0.86,   0.92
E,1.0,1.0,1.0,   0.92
F,1.0,0.8,0.89,   0.92
G,1.0,0.8,0.89,   0.92
H,1.0,1.0,1.0,   0.92
I,0.83,1.0,0.91,   0.92
J,0.86,1.0,0.92,   0.92
K,1.0,1.0,1.0,   0.92
L,0.67,0.67,0.67,   0.92
M,1.0,0.75,0.86,   0.92
N,1.0,1.0,1.0,   0.92
O,1.0,1.0,1.0,   0.92
P,1.0,1.0,1.0,   0.92
Q,1.0,1.0,1.0,   0.92
R,1.0,1.0,1.0,   0.92
S,1.0,1.0,1.0,   0.92
T,1.0,0.8,0.89,   0.92
U,1.0,1.0,1.0,   0.92
V,0.83,1.0,0.91,   0.92
W,1.0,0.67,0.8,   0.92
X,1.0,1.0,1.0,   0.92
Y,0.83,1.0,0.91,   0.92
Z,1.0,1.0,1.0,   0.92
