class,precision,recall,f1_score,accuracy
A,0.5,1.0,0.67,   0.97
B,1.0,1.0,1.0,   0.97
C,1.0,0.67,0.8,   0.97
D,1.0,0.75,0.86,   0.97
E,1.0,1.0,1.0,   0.97
F,1.0,1.0,1.0,   0.97
G,1.0,1.0,1.0,   0.97
H,1.0,1.0,1.0,   0.97
I,1.0,1.0,1.0,   0.97
J,1.0,1.0,1.0,   0.97
K,1.0,1.0,1.0,   0.97
L,0.75,1.0,0.86,   0.97
M,1.0,1.0,1.0,   0.97
N,1.0,1.0,1.0,   0.97
O,1.0,1.0,1.0,   0.97
P,1.0,1.0,1.0,   0.97
Q,1.0,1.0,1.0,   0.97
R,1.0,1.0,1.0,   0.97
S,1.0,1.0,1.0,   0.97
T,1.0,0.8,0.89,   0.97
U,1.0,1.0,1.0,   0.97
V,1.0,1.0,1.0,   0.97
W,1.0,1.0,1.0,   0.97
X,1.0,1.0,1.0,   0.97
Y,0.83,1.0,0.91,   0.97
Z,1.0,1.0,1.0,   0.97
