class,precision,recall,f1_score,accuracy
O,1.0,1.0,1.0,   0.91
I,0.86,1.0,0.92,   0.91
U,1.0,1.0,1.0,   0.91
E,1.0,0.75,0.86,   0.91
A,1.0,1.0,1.0,   0.91
B,1.0,0.6,0.75,   0.91
D,1.0,1.0,1.0,   0.91
G,0.57,1.0,0.73,   0.91
L,0.83,1.0,0.91,   0.91
M,1.0,1.0,1.0,   0.91
N,1.0,1.0,1.0,   0.91
P,1.0,0.67,0.8,   0.91
Q,1.0,1.0,1.0,   0.91
V,1.0,1.0,1.0,   0.91
W,1.0,1.0,1.0,   0.91
C,1.0,1.0,1.0,   0.91
R,1.0,1.0,1.0,   0.91
T,1.0,0.75,0.86,   0.91
S,1.0,1.0,1.0,   0.91
H,1.0,0.8,0.89,   0.91
F,0.67,0.67,0.67,   0.91
Z,1.0,1.0,1.0,   0.91
Y,1.0,0.67,0.8,   0.91
J,0.0,0.0,0.0,   0.91
K,0.71,1.0,0.83,   0.91
X,1.0,1.0,1.0,   0.91
